运城市妇幼保健院彩色多普勒超声诊断仪等医疗设备采购项目中标公告 | 2020.01.15 | 运城市妇幼保健院 | 中鼎誉润工程咨询有限公司中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766518.htm
中国人民解放军某部队科研办公楼物业管理服务中标公告 | 2020.01.15 | 中国人民解放军某部队 | 北京典方建设工程咨询有限公司中标公告 | 北京 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766494.htm
梅州市人民医院新建住院大楼10kV（备供）外电缆工程项目（项目编号：0724-1901D91N5439）成交公告 | 2020.01.15 | 梅州市人民医院 | 国义招标股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766457.htm
中国人民解放军某部队营区绿化管护服务中标公告 | 2020.01.15 | 中国人民解放军某部队 | 北京典方建设工程咨询有限公司中标公告 | 北京 | 服务/公共设施管理服务/园林绿化管理服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200115_13766456.htm
国家税务总局三亚市吉阳区税务局纳税服务劳务外包项目中标公告 | 2020.01.15 | 国家税务总局三亚市吉阳区税务局 | 海南亿林工程管理咨询有限公司中标公告 | 海南 | 服务/商务服务/税务服务/其他税务服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766455.htm
保德县公安局新建保德县看守所智慧监管及智慧磐石系统建设项目中标公告 | 2020.01.15 | 保德县公安局 | 山西中经招标代理有限公司中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766435.htm
富源县看守所“智慧磐石”建设项目公开招标中标公告 | 2020.01.15 | 富源县公安局 | 云南成美招标咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766420.htm
梧侣溪、泥山溪两处高效处理站尾水水质提升服务项目结果公告(包1) | 2020.01.15 | 厦门市同安区市政园林局 | 厦门港湾咨询监理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766384.htm
岢岚县环境保护局岢岚县乡镇、学校、卫生院在用锅炉煤改气升级改造项目中标公告 | 2020.01.15 | 岢岚县环境保护局 | 岢岚县政府采购中心中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766374.htm
阿勒泰边境管理支队2020年7个业务备勤用房建设项目地质勘查和图纸设计项目中标公告 | 2020.01.15 | 阿勒泰边境管理支队 | 新疆天壹中山工程咨询有限公司中标公告 | 新疆 | 服务/工程咨询管理服务/工程设计服务,服务/专业技术服务/地质勘测服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766425.htm
崇文大道蓼河桥至凯赛桥西灯杆中国结采购及安装工程中标公告 | 2020.01.15 | 济宁高新区市政园林处 | 济宁市鲁信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766362.htm
海南省海口市人民检察院-海口市人民检察院办案技术综合楼计算机网络和机房建设（一期）项目-中标公告 | 2020.01.15 | 海南省海口市人民检察院 | 海南政鑫招标代理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766348.htm
某大学专用模块器件项目中标公告 | 2020.01.15 | 某大学 | 亿诚建设项目管理有限公司中标公告 | 湖南 | 货物/通用设备/电子和通信测量仪器/元件器件参数测量仪/电子元件参数测量仪 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766389.htm
某大学优质电子书资源引进项目中标公告 | 2020.01.15 | 某大学 | 亿诚建设项目管理有限公司中标公告 | 湖南 | 货物/图书和档案/图书/电子图书/电子书籍、课本 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766390.htm
梅州市人民医院消防设备采购项目（编号：0724-1901D91N5440）中标公告 | 2020.01.15 | 梅州市人民医院 | 国义招标股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766316.htm
阴平镇2019年东金村农村清洁取暖设备采购与安装项目中标公告 | 2020.01.15 | 枣庄市峄城区阴平镇人民政府 | 山东百顺招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766312.htm
2019-2020年度退役军人职业教育和技能培训服务采购项目中标公告 | 2020.01.15 | 威海市退役军人事务局,威海市退役军人事务局,威海市退役军人事务局 | 山东卓舜招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766289.htm
上饶市城市建设投资开发集团有限公司2019年度上饶市公交车配件（大规格轮胎）中标公告 | 2020.01.15 | 上饶市城市建设投资开发集团有限公司 | 上饶市诚源招标代理有限公司中标公告 | 江西 | 货物/通用设备/车辆/车辆附属设施及零部件 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766341.htm
唐河县林丰林业开发有限公司河南省唐河县国家储备林建设项目（2019-2020）年度施工作业设计项目中标公告 | 2020.01.15 | 唐河县林丰林业开发有限公司 | 河南兴宛工程咨询有限公司中标公告 | 河南 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766330.htm
昆山市蓬朗街道蓬苑社区居民委员会关于蓬苑社区垃圾分类移动岗亭项目公开招标的中标公告 | 2020.01.15 | 昆山市蓬朗街道蓬苑社区居民委员会 | 昆山登峰项目管理有限公司中标公告 | 江苏 | 货物/其他货物/活动房屋 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766267.htm
海口市妇幼保健院-高档麻醉监护仪等医疗设备一批-中标公告 | 2020.01.15 | 海口市妇幼保健院 | 海南政采招投标有限公司中标公告 | 海南 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766331.htm
政府购买公租房运营管理服务（市北区河马石等公租房项目）成交公告 | 2020.01.15 | 青岛市住房和城乡建设局 | 青岛佳恒工程造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766268.htm
政府购买公租房运营管理服务（市北区河马石等公租房项目）成交公告 | 2020.01.15 | 青岛市住房和城乡建设局 | 青岛佳恒工程造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766253.htm
北京第二实验小学餐饮食堂外包项目---（德胜校区）中标公告 | 2020.01.15 | 北京第二实验小学 | 华诚博远工程咨询有限公司中标公告 | 北京 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766251.htm
某单位工作区联管联控暨通信保障系统建设项目中标公告 | 2020.01.15 | 某单位 | 新疆丰源建设工程项目管理咨询有限公司中标公告 | 新疆 | 工程/建筑安装工程/智能化安装工程/通信系统工程,服务/信息技术服务/其他信息技术服务,服务/信息技术服务/软件开发服务/信息安全软件开发服务,货物/通用设备/计算机设备及软件/计算机软件/ | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766255.htm
北京第二实验小学餐饮食堂外包项目---（新文化街校区和王府校区）中标公告 | 2020.01.15 | 北京第二实验小学 | 华诚博远工程咨询有限公司中标公告 | 北京 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766257.htm
密山市住房和城乡建设局密山市农村生活垃圾治理项目（设备部分）中标公告 | 2020.01.15 | 密山市住房和城乡建设局 | 诚泰项目管理有限公司中标公告 | 黑龙江 | 货物/通用设备/车辆/其他车辆 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766320.htm
深圳市宝安区城市管理和综合执法局新桥和沙井街道环卫一体化PPP项目资格预审结果公告 | 2020.01.15 | 深圳市宝安区城市管理和综合执法局 | 深圳市加乐咨询有限公司中标公告 | 广东 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766234.htm
中卫市人民医院购置椎间孔镜等骨科设备采购项目中标公告 | 2020.01.15 | 中卫市人民医院 | 中天世纪国际招标有限公司中标公告 | 宁夏 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766306.htm
海南省消防救援总队海口二期经济适用住房工程结算审计项目中标公告 | 2020.01.15 | 海南省消防救援总队 | 中经国际招标集团有限公司中标公告 | 海南 | 服务/工程咨询管理服务/工程造价咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766237.htm
云南省消防救援总队消防车采购项目（H标段：战保类消防车）（三次）中标公告 | 2020.01.15 | 云南省消防救援总队 | 昆明晨晟招标有限责任公司中标公告 | 云南 | 货物/通用设备/车辆/专用车辆/消防车 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766219.htm
闻喜县人民医院及妇幼保健院整体设计中标公告 | 2020.01.15 | 闻喜县卫生健康和体育局 | 西安瑞君建设项目管理有限公司中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766221.htm
