上海青浦排水运营有限公司青浦区城镇污水处理厂脱水污泥运输项目中标公告 | 2020.01.23 | 上海青浦排水运营有限公司 | 上海易尧招标服务有限公司中标公告 | 上海 | 服务/科学研究和试验开发/工程学的研究和试验开发/交通运输工程研究服务/运输工程/道路运输 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808979.htm
江西省谷正工程咨询有限公司关于景德镇景东片区220kV洪李I、II线电力设施迁改工程施工（招标编号：JG2001-FW-0001-02）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808883.htm
中南大学湘雅二医院C02培养箱等实验室设备采购项目中标公告 | 2020.01.23 | 中南大学湘雅二医院 | 中科高盛咨询集团有限公司中标公告 | 湖南 | 货物/专用设备/专用仪器仪表/其他专用仪器仪表 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808882.htm
保山市第二人民医院信息化硬件建设设备项目公开招标中标公示 | 2020.01.23 | 云南省保山市第二人民医院 | 保山市隆阳区政府采购和出让中心中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808869.htm
江西省谷正工程咨询有限公司关于景德镇景东片区李家220kV变电站构架改造电力设施迁改工程施工（招标编号：JG2001-FW-0001-04）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808872.htm
育德文体广场改造工程项目成交公告 | 2020.01.23 | 江门市蓬江区人民政府环市街道办事处 | 广东远东招标代理有限公司江门分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808871.htm
佛山市体育场馆中心（佛山市社会体育指导中心）佛山市体育馆物业管理服务项目的中标、成交公告 | 2020.01.23 | 佛山市体育场馆中心（佛山市社会体育指导中心） | 佛山市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808868.htm
"白茬山"等难以治理的矿山迹地调查中标公告 | 2020.01.23 | 赤城县自然资源和规划局 | 北京华源信工程咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808852.htm
景县图书馆、博物馆和档案馆三馆综合体项目规划设计采购项目中标公告 | 2020.01.23 | 景县住房和城乡规划建设局 | 河北光瑞招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808851.htm
江西省谷正工程咨询有限公司关于景德镇景东片区220kV洪李I、II线、蛇李线电力设施迁改工程监理（招标编号：JG2001-FW-0001-04）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808848.htm
海阳市郭城镇人民政府海阳市郭城镇战场泊村农村综合性改革试点户外综合休闲项目中标公告 | 2020.01.23 | 海阳市郭城镇人民政府 | 海阳建东工程项目管理有限公司中标公告 | 山东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808949.htm
成武县白浮图镇徐官庄等3村新型农村幸福院建设项目中标公告 | 2020.01.23 | 成武县白浮图镇人民政府 | 中正信造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808850.htm
郁南县千官镇人民政府2019年度云浮市郁南县千官镇金版村委会、大全、金版、千官、斯富、云额、石大、云霄村委会、塱济、双龙、登心、旺玖村委会农村建设用地拆旧复垦项目的中标、成交公告 | 2020.01.23 | 郁南县千官镇人民政府 | 云浮市全顺招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808829.htm
临沂市兰山区半程镇市级美丽乡村片区大峪村村内绿化项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东省建设工程招标中心有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808833.htm
厦门华沧-公开招标-2019-HCGK-SH1932-2020年度污水处理厂构筑物清淤招标项目的结果公告 | 2020.01.23 | 厦门水务中环污水处理有限公司 | 厦门市华沧采购招标有限公司中标公告 | 福建 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808924.htm
兰山区半程镇市级美丽乡村片区团埠社区建设项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东省建设工程招标中心有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808832.htm
江西省谷正工程咨询有限公司关于昌景黄铁路110kV高石线、龙石线110kV电力线路迁改工程监理（招标编号：JG2001-FW-0001-05）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808831.htm
厦门华沧-公开招标-2019-HCGK-SH2013-2020年度污水公司水泵及转碟曝气机维修服务项目的结果公告 | 2020.01.23 | 厦门水务中环污水处理有限公司 | 厦门市华沧采购招标有限公司中标公告 | 福建 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808909.htm
临沂市兰山区半程镇市级美丽乡村片区大峪村建设项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东省建设工程招标中心有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808795.htm
江西省谷正工程咨询有限公司关于景德镇景东片区电李线、李北线等5条110kV线路电力设施迁改工程监理（招标编号：JG2001-FW-0001-06）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808797.htm
临沂市兰山区半程镇市级美丽乡村片区团埠社区村内绿化项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东省建设工程招标中心有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808794.htm
【电子标】乐陵市杨安镇农房节能改造项目中标公告 | 2020.01.23 | 乐陵市杨安镇人民政府 | 天勤工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808783.htm
江西省谷正工程咨询有限公司关于昌景黄铁路110kV高石线、龙石线110kV电力线路迁改工程施工（招标编号：JG2001-FW-0001-07）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808770.htm
孟村回族自治县公安局公共安全视频图像智能应用平台建设项目中标公告 | 2020.01.23 | 孟村回族自治县公安局 | 河北昌宏工程项目管理有限责任公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808760.htm
中国人民解放军75645部队办公楼天花和地板更换工程中标公告 | 2020.01.23 | 中国人民解放军75645部队 | 广东信仕德建设项目管理有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808859.htm
云岩区14所临街主干道校（园）安装防冲撞设施项目中标（成交）公告 | 2020.01.23 | 云岩区教育局 | 贵州山水工程技术服务有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808763.htm
岱岳区重点县道日常保洁服务采购项目中标公告 | 2020.01.23 | 泰安市岱岳区交通运输局 | 青岛国正工程项目管理有限公司泰安分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808769.htm
新疆维吾尔自治区中医医院自治区中医医院零散网络布线工程中标公告 | 2020.01.23 | 新疆维吾尔自治区中医医院 | 新疆华域建设工程项目管理咨询有限公司中标公告 | 新疆 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808762.htm
甘肃省兰州市人民检察院司法鉴定专用软件项目中标公告 | 2020.01.23 | 甘肃省兰州市人民检察院 | 甘肃鑫禾国际招标有限公司中标公告 | 甘肃 | 货物/通用设备/计算机设备及软件/计算机软件/基础软件/操作系统 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808751.htm
江西省谷正工程咨询有限公司关于景德镇景东片区110kV电李线、李北线电力设施迁改工程施工（招标编号：JG2001-FW-0001-08）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808747.htm
塞罕坝区域旅游扶贫PPP项目社会资本方采购资格预审结果公告 | 2020.01.23 | 围场满族蒙古族自治县农业农村局 | 中科宏泰工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808736.htm
揭阳产业转移工业园白塔镇人民政府揭阳产业园白塔镇分布式光伏发电扶贫项目中标公告 | 2020.01.23 | 揭阳产业转移工业园白塔镇人民政府 | 广东启正招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808730.htm
鄄城县消防救援大队陈王消防站采暖工程项目中标公告 | 2020.01.23 | 鄄城县公安消防大队 | 山东鸣诺工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808729.htm
江西省谷正工程咨询有限公司关于景德镇景东片区110kV李东I、II线电力设施迁改工程施工（招标编号：JG2001-FW-0001-09）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808735.htm
惠州市公共资源交易中心惠东分中心惠州市公共资源交易中心惠东分中心办公楼租赁服务项目 | 2020.01.23 | 惠州市公共资源交易中心惠东分中心 | 惠州市公共资源交易中心惠东分中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808728.htm
保定市第二医院关于医疗保障设备维护保养项目公开招标中标公告 | 2020.01.23 | 保定市第二医院 | 河北英铭项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808710.htm
广东财经大学自营食堂食品材料供应商资格采购项目采购结果公告 | 2020.01.23 | 广东财经大学 | 广州宜立招标代理有限公司中标公告 | 广东 | 货物/食品、饮料和烟草原料/农副食品，动、植物油制品/其他农副食品,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/熟肉制品,货物/食品、饮料和烟草原料/农副食品，动、植物油制 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808716.htm
化州市平定卫生院化州市平定卫生院医用气体信息化呼叫系统采购项目ZX2019-HG145的中标公告 | 2020.01.23 | 化州市平定卫生院 | 茂名市智信招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808709.htm
江西省谷正工程咨询有限公司关于景德镇景东片区110kV李大线电力设施迁改工程施工（招标编号：JG2001-FW-0001-10）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808714.htm
滦平县公安局滦平县看守所磐石系统智慧监所项目中标公告 | 2020.01.23 | 滦平县公安局 | 滦平县行政审批服务中心中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808696.htm
滦平县人民法院滦平县人民法院向社会力量购买劳务派遣公司中介服务项目中标公告 | 2020.01.23 | 滦平县人民法院 | 滦平县行政审批服务中心中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808697.htm
滦平县审计局购买社会中介服务（工程造价咨询类）中标公告 | 2020.01.23 | 滦平县审计局 | 滦平县行政审批服务中心中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808695.htm
滦平县审计局采购中介机构项目（会计服务类)中标公告 | 2020.01.23 | 滦平县审计局 | 滦平县行政审批服务中心中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808694.htm
唐山市丰南区住房和城乡建设局行政印刷品中标公告 | 2020.01.23 | 住房和城乡建设局行政 | 唐山市丰南区公共资源交易中心中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808698.htm
珠海市博物馆“两馆”物业招标采购项目中标结果更正公告 | 2020.01.23 | 珠海市博物馆 | 珠海市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808692.htm
金昌市中心血站二级等保硬件、冷链监控系统等项目中标公告 | 2020.01.23 | 金昌市中心血站 | 甘肃北方国际招标有限公司中标公告 | 甘肃 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808667.htm
汉口滨江国际商务区综合管廊工程PPP项目社会资本方政府采购中标结果公告 | 2020.01.23 | 武汉市自然资源和规划局 | 湖北省招标股份有限公司中标公告 | 湖北 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808816.htm
济南市南部山区管理委员会社会事务管理局微机室采购中标公告 | 2020.01.23 | 济南市南部山区管理委员会社会事务管理局 | 山东明华项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808665.htm
济南市南部山区管理委员会社会事务管理局多媒体设备采购中标公告 | 2020.01.23 | 济南市南部山区管理委员会社会事务管理局,济南市南部山区管理委员会社会事务管理局,济南市南部山区管理委员会社会事务管理局,济南市南部山区管理委员会社会事务管理局,济南市南部山区管理委员会社会事务管理局 | 山东明华项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808681.htm
北京市因公出入境管理服务系统升级改造项目中标公告 | 2020.01.23 | 北京市人民政府外事办公室本级 | 北京汇诚金桥国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808673.htm
北京市昌平职业学校通用航空器维修专业实训室建设项目中标公告 | 2020.01.23 | 北京市昌平职业学校 | 中招商祺(北京)工程管理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13819042.htm
第三方评价与检查中标公告 | 2020.01.23 | 北京市公园管理中心本级机关 | 中信国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808671.htm
北京市公安局信息资源服务平台项目第一包中标公告 | 2020.01.23 | 北京市公安局本级行政 | 北京华采招标代理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808677.htm
北京市公安局信息资源服务平台项目第二包中标公告 | 2020.01.23 | 北京市公安局本级行政 | 北京华采招标代理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808679.htm
首都医科大学附属北京朝阳医院医院门急诊医技病房楼大修改造工程设计中标公告 | 2020.01.23 | 首都医科大学附属北京朝阳医院 | 中技国际招标有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808649.htm
首都医科大学附属北京朝阳医院医院门急诊医技病房楼大修改造工程监理中标公告 | 2020.01.23 | 首都医科大学附属北京朝阳医院 | 中技国际招标有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808633.htm
东明黄河国家湿地公园湿地保护与修复项目中标公告 | 2020.01.23 | 东明县国有三春集林场 | 山东汇合项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808619.htm
临清市五里庄面粉采购项目中标公告 | 2020.01.23 | 临清市新华路街道办事处 | 北京广普达工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808621.htm
北京市昌平职业学校飞行技术与航务管理专业实训室建设项目中标公告 | 2020.01.23 | 北京市昌平职业学校 | 中招商祺(北京)工程管理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13819047.htm
荆州区2019-2022年度中心城区环卫作业服务项目中标公告 | 2020.01.23 | 荆州市荆州区城市管理执法局 | 湖北富润招标代理有限公司中标公告 | 湖北 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808606.htm
西夏区环卫作业大学城片区市场化运行项目中标公告 | 2020.01.23 | 银川市西夏区市容环境卫生服务中心 | 宁夏实安项目管理有限公司中标公告 | 宁夏 | 服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808592.htm
半程镇市级美丽乡村片区建设项目监理中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808589.htm
半程镇市级美丽乡村片区闵沂墩村建设项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808591.htm
半程镇市级美丽乡村片区邓家庄村建设项目中标公告 | 2020.01.23 | 临沂市兰山区半程镇人民政府 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808590.htm
北京市顺义区石园街道办事处石园街道五里仓社区智慧社区建设工程中标公告 | 2020.01.23 | 北京市顺义区石园街道办事处 | 北京华信恒招标代理有限公司中标公告 | 北京 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808604.htm
金昌市中心血站移动献血屋项目（二次）中标公告 | 2020.01.23 | 金昌市中心血站 | 甘肃北方国际招标有限公司中标公告 | 甘肃 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808570.htm
厦门务实-公开招标-2019-SH816B中国人民解放军某部队27#28#家具采购中标公告 | 2020.01.23 | 中国人民解放军某部队 | 厦门市务实采购有限公司中标公告 | 福建 | 货物/家具用具/组合家具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808659.htm
平和县交通发展有限公司双车道不停车检测系统建设中标公告 | 2020.01.23 | 平和县交通发展有限公司 | 华睿诚项目管理有限公司中标公告 | 福建 | 货物/专用设备/政法、检测专用设备/交通管理设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808555.htm
深圳市第一职业技术学校学生服务中心（含坪山校区）配送供应商招标项目中标公告 | 2020.01.23 | 深圳市第一职业技术学校 | 三方诚信招标有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808626.htm
青岛大学零星工程项目中标公告 | 2020.01.23 | 青岛大学 | 山东齐信招标有限公司青岛分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808524.htm
漳州招商局经济技术开发区静湖公园、黄金海岸公园、南炮台公园、香山湿地2020-2023年度物业服务类项目结果公告(包3) | 2020.01.23 | 漳州招商局经济技术开发区公用事业管理局 | 福建省协祥工程项目管理咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808530.htm
漳州招商局经济技术开发区静湖公园、黄金海岸公园、南炮台公园、香山湿地2020-2023年度物业服务类项目结果公告(包2) | 2020.01.23 | 漳州招商局经济技术开发区公用事业管理局 | 福建省协祥工程项目管理咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808521.htm
漳州招商局经济技术开发区静湖公园、黄金海岸公园、南炮台公园、香山湿地2020-2023年度物业服务类项目结果公告(包4) | 2020.01.23 | 漳州招商局经济技术开发区公用事业管理局 | 福建省协祥工程项目管理咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808522.htm
福建工程学院土木工程学院大型多功能岩土工程模型试验系统采购结果公告(包1) | 2020.01.23 | 福建工程学院 | 福建省智信招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808528.htm
漳州招商局经济技术开发区静湖公园、黄金海岸公园、南炮台公园、香山湿地2020-2023年度物业服务类项目结果公告(包1) | 2020.01.23 | 漳州招商局经济技术开发区公用事业管理局 | 福建省协祥工程项目管理咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808529.htm
福州市长乐区博物馆文物陈列柜采购计划结果公告(包1) | 2020.01.23 | 福州市长乐区博物馆 | 福建诚尚项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808520.htm
宽带可调谐飞秒激光器、光谱分析仪采购结果公告(包1) | 2020.01.23 | 福建师范大学 | 福建省智信招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808527.htm
A020808平和县公安局视频会议系统升级改造项目建设采购结果公告(包1) | 2020.01.23 | 平和县公安局 | 华睿诚项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808519.htm
JNZC-2019GK0128南站片区治安、交通、数字监控智能优化提升工程采购结果公告 | 2020.01.23 | 南京市江宁区铁路南京南站地区市政管养与综合服务中心 | 南京市公共资源交易中心江宁分中心中标公告 | 江苏 | 服务/信息技术服务/信息系统集成实施服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808525.htm
南宁市富申建设投资有限责任公司南宁市雨、污水管网功能性破损整治项目第二期C标工程总承包评标结果公示 | 2020.01.23 | 南宁市富申建设投资有限责任公司 | 南宁市建昶建设工程监理咨询有限责任公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808598.htm
南宁市富申建设投资有限责任公司南宁市雨、污水管网功能性破损整治项目第二期B标工程总承包评标结果公示 | 2020.01.23 | 南宁市富申建设投资有限责任公司 | 南宁市建昶建设工程监理咨询有限责任公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808596.htm
南宁市富申建设投资有限责任公司南宁市雨、污水管网功能性破损整治项目第二期A标工程总承包评标结果公示 | 2020.01.23 | 南宁市富申建设投资有限责任公司 | 南宁市建昶建设工程监理咨询有限责任公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808578.htm
中山大学附属第三医院心血管超声诊断仪采购项目中标公告 | 2020.01.23 | 中山大学附属第三医院 | 中经国际招标集团有限公司广东分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808476.htm
枣庄市市中区市容环境卫生服务中心城区环卫保洁服务项目中标公告 | 2020.01.23 | 枣庄市市中区市容环境卫生服务中心,枣庄市市中区市容环境卫生服务中心,枣庄市市中区市容环境卫生服务中心,枣庄市市中区市容环境卫生服务中心 | 山东东岳项目管理有限公司枣庄分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808478.htm
东莞市市政园林管理中心中心广场绿化养护项目的中标、成交公告 | 2020.01.23 | 东莞市市政园林管理中心 | 广东建瀚工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808479.htm
珠海市住房公积金管理中心2020年房屋维修项目中标公告 | 2020.01.23 | 珠海市住房公积金管理中心 | 中山远信工程咨询招标有限公司珠海分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808448.htm
珠海城市职业技术学院格力空调实操培训基地基建项目中标公告 | 2020.01.23 | 珠海城市职业技术学院 | 中山远信工程咨询招标有限公司珠海分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808451.htm
中华人民共和国应急管理部应急管理部本级无线通信网建设（一期）项目-部本级370MHZ集群系统及时空统一服务系统建设采购项目中标公告 | 2020.01.23 | 中华人民共和国应急管理部 | 中机国际招标有限公司中标公告 | 北京 | 货物/通用设备/通信设备/无线电通信设备/通用无线电通信设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200123_13808494.htm
北京市东城区人民政府交道口街道办事处2020年平房区物业管理服务企业中标公告 | 2020.01.23 | 北京市东城区人民政府交道口街道办事处 | 北京中城建华工程咨询有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808447.htm
大理市2019年果菜茶（蔬菜）有机肥替代化肥项目中标公示 | 2020.01.23 | 大理市农业农村局 | 云南玮元工程咨询有限公司中标公告 | 云南 | 货物/通用设备/办公设备/其他办公设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808430.htm
珠海市香洲区城市管理和综合执法局2020年购买劳务服务采购项目（第二次）的中标公告 | 2020.01.23 | 珠海市香洲区城市管理和综合执法局 | 广东明正项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808419.htm
济南市槐荫人民医院信息管理系统建设中标公告 | 2020.01.23 | 济南市槐荫人民医院 | 山东英大招投标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808418.htm
崇信县人民医院物业化管理服务项目中标公告 | 2020.01.23 | 崇信县人民医院 | 甘肃金正信工程项目管理咨询有限公司中标公告 | 甘肃 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808399.htm
张家港市公安局铁路沿线防控体系建设项目中标公示 | 2020.01.23 | 张家港市公安局 | 张家港保税区禾达招投标咨询服务有限公司中标公告 | 江苏 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808402.htm
