肇庆市高要区金利镇中心小学肇庆市高要区金利镇中心小学智慧黑板采购项目中标公告 | 2020.01.23 | 肇庆市高要区金利镇中心小学 | 深圳群伦项目管理有限公司肇庆第二分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809432.htm
2020年金融综合服务集聚平台项目中标结果公告 | 2020.01.23 | 广州南沙经济技术开发区金融工作局 | 广东国利招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809420.htm
2020年上海市黄浦区消防救援支队烟花爆竹禁燃宣传品设计与采购项目中标公告 | 2020.01.23 | 上海市黄浦区消防救援支队 | 上海亿越工程咨询有限公司中标公告 | 上海 | 货物/纸、纸制品及印刷品/印刷品/其他印刷品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809438.htm
中国人民武装警察部队玉林支队武警玉林支队部分基层中队营区政治环境建设采购中标公告 | 2020.01.23 | 中国人民武装警察部队玉林支队 | 广西建能建设工程咨询有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809440.htm
黄浦区消防救援支队北京中队营区修缮项目中标公告 | 2020.01.23 | 上海市黄浦区消防救援支队 | 上海亿越工程咨询有限公司中标公告 | 上海 | 工程/修缮工程/其他建筑物、构筑物修缮 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809437.htm
上海市消防局浦东保税区备勤楼项目高低压柜电气设备安装工程中标公告 | 2020.01.23 | 上海市消防局 | 上海联合工程监理造价咨询有限公司中标公告 | 上海 | 工程/建筑安装工程/电力系统安装/其他电力系统安装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809334.htm
潮州市中心医院采购全自动血凝分析仪等设备的中标、成交公告 | 2020.01.23 | 潮州市中心医院 | 广东新正工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809321.htm
上海市消防局浦东保税区备勤楼项目污水检测井（格栅池）工程中标公告 | 2020.01.23 | 上海市消防局 | 上海联合工程监理造价咨询有限公司中标公告 | 上海 | 工程/构筑物施工/环保工程施工/污水处理工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809323.htm
东莞市黄江镇公用事业服务中心2020年-2021年春节灯饰项目中标公告 | 2020.01.23 | 东莞市黄江镇公用事业服务中心 | 三方诚信招标有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809367.htm
宁德市医院医疗设备采购项目货物类采购项目结果公告(包2) | 2020.01.23 | 宁德市医院 | 福建华闽招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809310.htm
宁德市医院医疗设备采购项目货物类采购项目结果公告(包1) | 2020.01.23 | 宁德市医院 | 福建华闽招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809309.htm
中国人民武装警察部队玉林支队武警玉林支队智能黑板采购项目中标公告 | 2020.01.23 | 中国人民武装警察部队玉林支队 | 广西建能建设工程咨询有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809357.htm
中国人民武装警察部队玉林支队武警玉林支队移动靶机、激光对抗系统等训练器材采购项目中标公告 | 2020.01.23 | 中国人民武装警察部队玉林支队 | 广西建能建设工程咨询有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809339.htm
北京市大兴区卫生健康委员会大兴区人口健康信息平台二期项目-统一支付中标公告 | 2020.01.23 | 北京市大兴区卫生健康委员会 | 北京希地环球建设工程顾问有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809295.htm
北京市大兴区卫生健康委员会大兴区人口健康信息平台二期项目-扫描墩中标公告 | 2020.01.23 | 北京市大兴区卫生健康委员会 | 北京希地环球建设工程顾问有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809296.htm
漳州招商局经济技术开发区交通运输局2020-2023年度漳州港客运中心站物业服务采购项目服务类采购项目结果公告(包1) | 2020.01.23 | 漳州招商局经济技术开发区交通运输局 | 福建省协祥工程项目管理咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809269.htm
广州市公安局南沙区分局鱼窝头派出所饭堂食材配送服务项目中标结果公告 | 2020.01.23 | 广州市南沙区东涌镇人民政府 | 广东国利招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809255.htm
深圳市公园管理中心2020年洗手间消耗用品采购项目（重新招标）中标公告 | 2020.01.23 | 深圳市公园管理中心 | 深圳市振东招标代理有限公司中标公告 | 广东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809315.htm
河北机车技师学院房屋更换断桥铝窗户工程一期中标公告 | 2020.01.23 | 河北机车技师学院 | 河北大引招标咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809240.htm
东莞市黄江镇规划管理所东莞市轨道交通1号线黄江镇黄牛埔站TID项目概念方案及地块包装编制工作中标公告 | 2020.01.23 | 东莞市黄江镇规划管理所 | 三方诚信招标有限公司中标公告 | 广东 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809314.htm
广州市公安局南沙区分局东涌派出所饭堂食材配送服务项目中标结果公告 | 2020.01.23 | 广州市南沙区东涌镇人民政府 | 广东国利招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809239.htm
2020年-2021年象山区政府投资工程项目评审服务定点单位采购（采购项目编号：GLZC2019-G3-04-28JXYX）中标公告 | 2020.01.23 | 象山区财政局 | 江西银信工程造价咨询有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809302.htm
遵义市播州区委宣传部新时代文明实践中心标识牌及文化墙制作等竞争性谈判采购项目中标（成交）公告 | 2020.01.23 | 遵义市播州区委宣传部 | 遵义市播州区人民政府采购中心中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809228.htm
广西鑫渠工程咨询有限公司关于兴安县塘市垃圾填埋场综合修复治理工程（项目编号：GLZC2019-G2-11685-GXXQ）中标公告 | 2020.01.23 | 兴安县环境卫生管理站 | 广西鑫渠工程咨询有限公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809289.htm
云之龙招标集团有限公司陆川县旧城焕新工程PPP项目YLZC2019-G3-59592-001-GXYL资格预审结果公告 | 2020.01.23 | 陆川县住房和城乡建设局 | 云之龙招标集团有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809192.htm
全彩微光数字夜视摄影仪采购项目评审结果公示 | 2020.01.23 | 中国人民解放军某部队 | 广东采联采购科技有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/通用摄像机 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809175.htm
沙河市农村公路（后渐寺至银河沟）道路工程监理中标公告 | 2020.01.23 | 沙河市交通局系统 | 河北弘元盛科工程项目咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809180.htm
沙河市农村公路（后渐寺至银河沟）道路工程项目二标段中标公告 | 2020.01.23 | 沙河市交通局系统 | 河北弘元盛科工程项目咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809179.htm
沙河市农村公路（后渐寺至银河沟）道路工程项目一标段中标公告 | 2020.01.23 | 沙河市交通局系统 | 河北弘元盛科工程项目咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809178.htm
东莞理工学院东莞理工学院高水平理工科大学建设专项－激光先进智能制造工程技术中心超净间系统采购项目的中标、成交公告 | 2020.01.23 | 东莞理工学院 | 广东洲际招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809174.htm
东莞市虎门镇人民政府市政水务局虎门镇园林绿化修整服务项目的中标、成交公告 | 2020.01.23 | 东莞市虎门镇人民政府市政水务局 | 广东洲际招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809160.htm
西夏区环卫作业开发区市场化运行项目中标公告 | 2020.01.23 | 银川市西夏区市容环境卫生服务中心 | 宁夏一乾招标代理有限公司中标公告 | 宁夏 | 服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809144.htm
南昌市红谷滩文化旅游发展有限公司秋水广场保洁、绿化服务外包采购项目(第二次）中标结果公示 | 2020.01.23 | 南昌市红谷滩文化旅游发展有限公司 | 江西方正招标代理有限公司中标公告 | 江西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809149.htm
南昌市红谷滩文化旅游发展有限公司凤凰洲市民公园保安管护服务外包采购项目（第二次）中标结果公示 | 2020.01.23 | 南昌市红谷滩文化旅游发展有限公司 | 江西方正招标代理有限公司中标公告 | 江西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809150.htm
泸西县殡葬管理中心智能双炕拣灰式火化机采购项目中标公示 | 2020.01.23 | 泸西县殡葬管理中心 | 云南汇恒高路工程项目管理有限公司中标公告 | 云南 | 货物/专用设备/殡葬设备及用品/火化设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809143.htm
2020年度福州金山小学保安服务费（2020年1月1日到2020年12月31日）服务类采购项目结果公告(包1) | 2020.01.23 | 福州金山小学 | 福建汇宏招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809147.htm
2020年黄山市公共交通有限公司公交车保险采购项目（第一批）中标公告 | 2020.01.23 | 黄山市公共交通有限公司 | 浙江兴业建设项目管理有限公司中标公告 | 安徽 | 服务/金融服务/保险服务/财产保险服务/机动车保险服务,服务/金融服务/保险服务/财产保险服务/运输保险服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809222.htm
安丘市2019年度大汶河旅游开发区许戈村、西许戈村省级美丽乡村示范村创建项目中标公告 | 2020.01.23 | 安丘市大汶河旅游开发区管理委员会 | 山东明信建设管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809101.htm
西夏区2018年全面改善贫困地区义务教育薄弱学校基本办学条件项目二次（三标段）中标公告 | 2020.01.23 | 银川市西夏区教育局 | 银川金源恒业工程咨询有限公司中标公告 | 宁夏 | 货物/通用设备/计算机设备及软件/计算机设备/台式计算机 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809100.htm
兰州黄河风情线大景区园林绿化所2020年风情线绿化养护购买社会化服务项目（马滩湿地公园）中标公告 | 2020.01.23 | 兰州黄河风情线大景区园林绿化所 | 甘肃昊智工程咨询有限公司中标公告 | 甘肃 | 服务/公共设施管理服务/园林绿化管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809084.htm
江西华灏工程造价咨询有限公司关于抚州一中实验学校校园智能化建设项目公开招标中标公示 | 2020.01.23 | 中湾建设集团有限公司 | 江西华灏工程造价咨询有限公司中标公告 | 江西 | 工程/建筑安装工程/智能化安装工程/其他智能化安装工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809088.htm
休宁县海阳镇人民政府2020年休宁县海阳镇松材线虫病疫木清理除治服务采购项目（秀阳片）第一批中标公告 | 2020.01.23 | 休宁县海阳镇人民政府 | 浙江兴业建设项目管理有限公司中标公告 | 安徽 | 服务/农林牧副渔服务/林业服务/林业有害生物防治服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809167.htm
2020年度薛城区四好农村路“三年集中攻坚”专项行动道路设计服务中标公告 | 2020.01.23 | 薛城区农村公路建设养护中心 | 山东致衡项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809073.htm
休宁县海阳镇人民政府2020年休宁县海阳镇松材线虫病疫木清理除治服务采购项目（钗坑、汪金桥片）第一批中标公告 | 2020.01.23 | 休宁县海阳镇人民政府 | 浙江兴业建设项目管理有限公司中标公告 | 安徽 | 服务/农林牧副渔服务/林业服务/林业有害生物防治服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809155.htm
砚山县三岔河水库等六件水利工程政府和社会资本合作（PPP）项目-中标结果公告 | 2020.01.23 | 砚山县水务局 | 云南云岭工程造价咨询有限公司中标公告 | 云南 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809060.htm
赣州梦缘招标代理有限公司关于江西省赣州市赣县区林业局赣县区2019-2020年度重点区域低质低效林改造项目（项目编号：GZMY2019-GX-G024）电子化公开招标的中标结果公告 | 2020.01.23 | 赣州市赣县区林业局 | 赣州梦缘招标代理有限公司中标公告 | 江西 | 服务/农林牧副渔服务/林业服务/造林服务,服务/农林牧副渔服务/林业服务/林木抚育管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809062.htm
翁源县公安局2020-2022年食材供应及配送服务项目的中标公告 | 2020.01.23 | 翁源县公安局 | 广东合正采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809059.htm
东莞市人民医院信息集成平台项目的中标、成交公告 | 2020.01.23 | 东莞市人民医院 | 广东中凯工程管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809044.htm
菏泽市生态环境局重点行业企业用地初步采样调查专业机构采购项目中标公告 | 2020.01.23 | 菏泽市生态环境局,菏泽市生态环境局,菏泽市生态环境局,菏泽市生态环境局 | 山东衡天咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809043.htm
广西科文招标有限公司大王滩国家湿地公园及水环境工程一期（湿地公园验收必建）建设项目（KWAZ3G20191846）中标公告 | 2020.01.23 | 南宁市大王滩水库管理处 | 广西科文招标有限公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809111.htm
百行征信有限公司web应用防火墙采购项目中标公告 | 2020.01.23 | 百行征信有限公司 | 中化商务有限公司中标公告 | 广东 | 货物/通用设备/计算机设备及软件/信息安全设备/防火墙 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809024.htm
宣威市榕峰顶广播电视无线转播台运行维护项目中标公告 | 2020.01.23 | 中国共产党宣威市委员会宣传部 | 云南信源招标有限公司中标公告 | 云南 | 服务/维修和保养服务/计算机设备维修和保养服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809009.htm
济宁市兖州区财政局2020年保安服务中标公告 | 2020.01.23 | 济宁市兖州区财政局 | 济宁市兖州区政府采购中心中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809007.htm
济宁市兖州区财政局2020年保安服务中标公告 | 2020.01.23 | 济宁市兖州区财政局 | 济宁市兖州区政府采购中心中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809013.htm
济宁市兖州区财政局2020年保安服务中标公告 | 2020.01.23 | 济宁市兖州区财政局 | 济宁市兖州区政府采购中心中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809011.htm
北京师范大学化学楼废气处理及通风设备采购项目中标公告 | 2020.01.23 | 北京师范大学 | 新华招标有限公司中标公告 | 北京 | 工程/建筑安装工程/通风和空调设备安装 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200123_13808986.htm
中山大学南校园园东区666栋201房等13套周转房维修工程中标公告 | 2020.01.23 | 中山大学 | 广东省国际工程咨询有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200123_13808973.htm
